"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"2186","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",5.33,9.72,4.39,"Services",6.16,19.99,22.74,10.19,11.64,143659,-45.17,58.01,82.05,10329111256,33412192363,28.56,68.14,"Dominant","food, water",401.85,"Yes"
"2187","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",9.36,15.09,5.74,"Tourism",6.84,15.17,21.59,11.46,17.45,17171,-6.68,81.08,152.02,93066728393,294246057440,28.05,68.15,"High","weapons, food, medicine",140.43,"Yes"
"2188","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",8.97,40.04,31.07,"Manufacturing",45.63,7.46,27.67,14.22,16.1,2463,-68.76,97.63,69.67,215335658670,458711894510,24.42,68.8,"Dominant","water, food, fuel",272.52,"Yes"
"2189","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",4.47,10.71,6.24,"Construction",7.52,24.26,29.97,19.12,21.39,33514,-32.07,59.04,88.49,263277335314,825366505392,20.36,54.11,"Low","food, water",4.75,"No"
"2190","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",4.37,12.77,8.39,"Energy",11.1,6.75,15.31,10.39,8.28,328790,-23.42,86.83,98.66,457460279821,1745150116310,15.67,30.46,"Dominant","medicine",3.81,"Yes"
"2191","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.41,22.3,13.89,"Agriculture",17.1,13.28,29.01,14.56,23.02,138581,-35.84,64.36,93.62,314945268225,489741535605,32.07,58.07,"Dominant","fuel, medicine, water",388.22,"Yes"
"2192","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",9.79,16.61,6.82,"Agriculture",8.86,23.73,28.45,12.76,17.33,6450,-35.16,64.31,46.26,286599121441,1107892962662,25.06,35.67,"Moderate","water, medicine, weapons",10.04,"No"
"2193","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",10.86,18.06,7.19,"Services",8.44,14.18,17.99,7.21,13.41,21759,-23.83,42.39,64.4,156665409879,400414834533,34,51.81,"Moderate","water, medicine, currency",180.9,"No"
"2194","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",9.3,35.3,26.01,"Services",33.03,22.62,35.71,14.61,21.44,721401,-73.73,11.73,11.02,416347893267,1599281524535,18.2,53.66,"Dominant","food, medicine",442.12,"Yes"
"2195","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.87,24.34,15.47,"Agriculture",19.14,21.97,34.07,15.6,19.18,1992,-9.7,112.26,75.28,156838641854,500981938398,34.2,65.49,"Low","medicine, fuel, weapons",245.93,"Yes"
"2196","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",8.08,38.71,30.63,"Services",37.22,10.11,33.21,19.5,17.68,13205,-19.25,83.88,148.5,496892905816,1482690494040,28.89,51.2,"High","water, food, medicine",369.12,"Yes"
"2197","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",3.04,6.84,3.8,"Manufacturing",4.68,6.54,8.91,4.75,6.09,10359,-81.54,88.25,89.66,429891177104,1377582663174,30.18,38.83,"Moderate","food",18.82,"Yes"
"2198","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.23,32.77,20.54,"Energy",24.25,17.86,35.91,14.82,25.2,5056,-27.5,46.75,66.38,458913637111,1749544321230,24.95,31.31,"Low","medicine, currency, food",2.91,"Yes"
"2199","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",6,8.71,2.71,"Manufacturing",3.39,21.49,24.23,7.85,15.06,23990,-43.04,153.33,231.56,388474896057,1112662335129,25.43,62.37,"Moderate","water, medicine",353.45,"Yes"
"2200","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",7.48,19.72,12.25,"Tourism",17.04,25.53,32.73,18.84,22.19,93995,-18.93,54.3,81.31,82678662931,279044964580,39.7,78.93,"Dominant","fuel, currency, water",388.99,"No"
"2201","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",3.6,4.85,1.25,"Manufacturing",1.79,20.98,22.08,14.63,12.24,1639832,-20.9,27.33,14.99,329554278987,1122150728881,21.04,39.01,"Low","currency, water",2.73,"Yes"
"2202","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",14.71,38.11,23.41,"Services",34.3,24.43,39.91,22.05,28.25,3712,-47.62,12.57,21.24,354418266501,683696993694,12.16,30.15,"Low","medicine, weapons, food",11.85,"No"
"2203","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.15,16.49,7.34,"Agriculture",10.33,29.9,38.13,20.06,23.6,13698,-41.75,17.39,16.45,33122428983,121798107695,11.36,25.16,"Moderate","fuel",3.3,"Yes"
"2204","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.81,68.93,54.11,"Construction",59.92,5.85,38.22,19.4,30.68,63656,-9.92,59.93,82.93,164740811975,597575879323,32.99,45.64,"Low","weapons",18.51,"Yes"
"2205","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.03,11.23,3.19,"Manufacturing",4.63,9.28,12.11,6.82,9.87,83803,-14.47,7.24,14.13,17741619950,45042608569,21.52,29.83,"Low","weapons, water",16.23,"Yes"
"2206","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.34,44.16,29.83,"Tourism",40.63,20,51.12,26.67,37.52,5361,-5.93,53.87,63.99,479610124348,1214356444568,39.28,64.6,"Low","food, water, medicine",39.59,"Yes"
"2207","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",7.25,40.91,33.65,"Construction",41.69,16.55,45.46,15.6,26.02,710583,-24.47,48.72,30.15,438860210389,1141026770471,27.14,66.55,"High","water, weapons",31.47,"Yes"
"2208","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",8.12,10.61,2.49,"Agriculture",3.15,15.14,17.59,8.59,11.26,82554,-28.06,79.18,106.98,344924567231,808546554869,20,29.31,"Low","water",11.01,"Yes"
"2209","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",4.24,8.36,4.12,"Construction",5.61,21.09,25.15,13.85,21.45,6859,-22.85,35.72,69.15,245384477610,702895092140,32.37,74.6,"Low","medicine, fuel",137.26,"No"
"2210","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",4.23,23.87,19.64,"Energy",28.14,20.64,36.05,24.93,20.12,3602,-11.81,78.22,125.25,221465946879,767043042069,13.22,36.75,"Low","water, currency, fuel",19.12,"Yes"
"2211","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",14.02,40.86,26.83,"Tourism",33.53,13.38,45.07,21.55,30.68,2069,-10.26,56.18,59.52,498532824075,1575048510008,34.14,64.07,"Moderate","medicine, weapons",176.36,"Yes"
"2212","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",6.82,19.36,12.55,"Tourism",15.86,24.42,32.6,21.49,21.33,3525,-24.15,25.41,39.72,304793032057,702525094158,10.88,27.21,"Dominant","food, water",13.74,"No"
"2213","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.91,34.03,22.12,"Energy",26.31,23,39.32,12.42,29.63,1784,-22.51,21.28,35.17,16289582970,28237683634,24.33,64.02,"High","medicine, water",265.96,"Yes"
"2214","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",11.84,31.18,19.34,"Construction",24.5,7.02,29.95,10.29,23.82,25275,-7.7,61.11,78.16,383612907466,1170734208182,15.78,41.9,"Low","weapons, currency, food",7.4,"Yes"
"2215","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",3.99,5.98,2,"Energy",2.71,12.71,13.97,7.26,10.92,1376,-42.34,145.95,213.96,247577136863,429734490462,36.68,90,"Low","currency, fuel, food",420.41,"Yes"
"2216","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",3.79,7.91,4.12,"Manufacturing",5.87,18.42,20.79,12.3,15.22,1889,-16.68,154.15,110.86,215725997982,741626939695,33.7,52.08,"Moderate","medicine, weapons, water",109.17,"No"
"2217","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.78,4.65,0.87,"Manufacturing",1.25,25.51,26.4,10.99,21.06,974,-37.43,32.8,25.41,381894416274,1355636441025,26.34,77.25,"High","weapons",468.42,"No"
"2218","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",14.89,28.28,13.38,"Services",19.1,17.13,31.65,13.27,22.34,29279,-30.14,67.65,113.27,245967843988,912337642223,33.31,51.88,"Low","water, food",465.69,"Yes"
"2219","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",6.08,14.78,8.71,"Construction",11.35,26.57,34.05,10.48,17.59,7558,-36.28,67.29,77.41,456025517897,946380839434,15.9,28.84,"Dominant","medicine, water",9.89,"Yes"
"2220","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",7.1,29.81,22.72,"Agriculture",25.39,29.11,49.73,23.55,29.31,29648,-20.25,96.78,123.95,117330299519,453954040617,13.35,16.16,"Dominant","weapons, water",19.51,"Yes"
"2221","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.48,27.05,17.57,"Energy",24.04,7.22,16.98,11.58,8.86,271659,-17.79,26.43,21.51,259510565030,968761481404,24.49,56.88,"Dominant","food, fuel",422.35,"Yes"
"2222","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.36,24.03,18.67,"Energy",20.79,12.98,24.53,12.87,17.14,42445,-8.25,10.21,13.29,13419259425,32534511371,30.8,41.87,"Moderate","fuel, food",4.84,"Yes"
"2223","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",14.51,38.62,24.11,"Tourism",28.09,21.43,33.56,17.54,27.4,30326,-28.06,129.1,127.99,398736786577,671214743451,21.25,43.27,"Moderate","weapons",8.83,"No"
"2224","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",10.95,17.52,6.57,"Manufacturing",8.19,20.82,28.61,12.96,20.43,122616,-9.72,69.37,72.69,430992817132,863228307087,15.03,20.97,"Dominant","food, water, currency",8.92,"No"
"2225","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",14.96,32.79,17.83,"Construction",23.31,26.84,43.13,17.95,31.7,162303,-26.43,62.56,44.27,242007961980,891040635895,24.37,39.7,"Dominant","water, medicine",10.16,"No"
"2226","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",10.73,28,17.27,"Manufacturing",23.29,11.08,22.36,10.51,15.67,115037,-29.35,51.26,79.89,51702241558,116915150921,32.12,90,"High","water, medicine",347.37,"No"
"2227","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",7.46,41.97,34.51,"Construction",46.64,14.84,36.08,18.64,28.46,7834,-25.76,124.92,106.43,105704109285,392007262467,26.37,43.79,"Dominant","food",10.57,"No"
"2228","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.8,39.95,26.15,"Energy",38.09,24.71,42.56,25.37,26.24,2957,-28.74,100.7,107.51,335116211355,1033639094263,26.22,44.11,"Moderate","medicine, food, fuel",0.58,"No"
"2229","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",11.08,13.86,2.78,"Construction",3.67,15.86,17.96,8.48,15.12,5321,-20.51,24.1,22.94,330655504112,1085299338701,38.27,71.73,"Low","weapons",215.21,"Yes"
"2230","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.14,21.21,17.06,"Construction",23.87,20.89,36.8,19.88,30.21,106107,-14.93,30.84,47.57,372061450040,620694211708,26.69,69.31,"High","medicine",320.23,"No"
"2231","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",6.75,14.58,7.83,"Energy",9.21,13.51,18.49,10.64,14.1,6102,-42.8,156.57,175.47,461234595406,980647799521,24.18,51.27,"High","fuel",339.2,"Yes"
"2232","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.91,45.52,31.6,"Services",38.46,6.23,28.06,15.03,23.88,26585,-26.42,18.92,26.9,465060431730,785499629942,36.16,61.03,"Low","currency, weapons",347.1,"Yes"
"2233","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.4,36.95,27.56,"Energy",31.85,24.3,53.19,26.16,26.77,45769,-10.88,19.2,15.02,326341391622,1208842540466,11.37,19.77,"High","fuel, currency",17.7,"No"
"2234","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.57,58.21,45.64,"Services",62.06,9.83,45.14,17.25,35.3,4941,-17.09,4.35,8.17,347391546942,850765713150,37,90,"Dominant","fuel, currency, weapons",393.76,"No"
"2235","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.51,78.87,64.36,"Services",72.78,11.94,75.09,38.83,43.39,378717,-20.94,94.44,106.95,14713713538,33951323765,21.89,32.96,"Low","food",14.7,"Yes"
"2236","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",12.51,30.32,17.81,"Services",19.85,21.44,40.65,27.46,28.44,1369,-7.31,27.69,17.39,472693215127,1830253595986,35.45,71.61,"Moderate","water",369.15,"Yes"
"2237","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",12.38,24.09,11.71,"Agriculture",14.08,14.46,21.18,13.32,11.88,14339,-31.28,70.47,110.04,319701491670,1239453826930,26.85,53.86,"Dominant","fuel, food, weapons",165.7,"No"
"2238","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.22,29.64,16.42,"Tourism",24.6,19.76,38.88,26.11,21.85,895,-35.57,39.19,75.52,434127051615,715951001928,39.51,90,"Low","medicine, weapons, fuel",318.73,"Yes"
"2239","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",11.49,15.12,3.63,"Tourism",4.7,11.05,13.48,6.97,12.05,6989,-10.76,42.42,56.79,411705376487,1528055045778,32.72,44.12,"Low","fuel, water, currency",4.34,"Yes"
"2240","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",14.3,33.17,18.88,"Energy",27.6,18.83,37.52,23.3,27.67,45742,-7.96,122.88,169.8,88639100952,258915537285,15.63,22.9,"Low","weapons, currency, fuel",17.59,"Yes"
"2241","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",11.04,19.35,8.31,"Construction",10.43,23.58,30.86,14.87,25.59,1889,-19.23,29.21,17.2,401118442349,660171356590,18.13,39.35,"Moderate","weapons, food, medicine",14.96,"No"
"2242","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",12.3,31.01,18.72,"Tourism",26.81,16.24,28.69,15.87,22.67,17702,-42.19,60.93,39.78,413496072292,1009246056661,22.67,66.78,"High","fuel",77.79,"Yes"
"2243","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.63,47.64,34.01,"Construction",45.39,18.06,48.04,20.68,43.23,1012,-23.29,98.42,135.74,136228869890,503405702978,15.89,45.95,"Dominant","water",17.27,"Yes"
"2244","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",11.31,53.99,42.68,"Services",59.39,13.51,57.77,31.1,49.96,9360,-8.02,108.59,165.69,160066231369,335126114690,18.54,37.12,"Moderate","currency, food, fuel",17.12,"Yes"
"2245","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",10.65,28.48,17.83,"Services",20.74,29.55,46.99,28.76,42.27,238451,-27.68,80.51,145.41,82036177903,128004621435,14.07,25.1,"Moderate","medicine",18.49,"Yes"
"2246","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",11.83,32.11,20.28,"Agriculture",27.47,14.61,30.27,19.32,24.65,18092,-6.95,69.51,109.72,158613662006,333987918214,13.84,35.96,"Moderate","food",7.1,"Yes"
"2247","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",13.26,55.09,41.83,"Services",56.6,16.39,59.25,26.01,45.07,2048,-83.54,63.3,74.65,239798588678,439986228265,36.29,90,"High","currency, medicine, weapons",432.05,"Yes"
"2248","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",8.41,32.32,23.91,"Services",35.47,26.75,45.92,18.79,40.09,379683,-68.66,72.5,117.22,391097618406,1151311832805,22.22,27.22,"Moderate","water, medicine, currency",1.51,"No"
"2249","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",4.36,10.15,5.79,"Agriculture",8.33,16.4,19.63,10.71,13.13,1413,-15.88,63.31,39.41,298263621855,892057473032,38.99,90,"Low","medicine",108.63,"Yes"
"2250","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",12.83,37.73,24.89,"Services",31.81,5.7,19.95,6.77,14.44,3105,-79.28,77.57,112.11,331771683302,895950589817,27.87,57.12,"High","medicine",318.82,"No"
"2251","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",4.27,11.19,6.92,"Agriculture",8.88,11.27,15.23,7.69,7.99,1266,-19.77,33.29,53.81,60648136534,170870583606,16.81,47.26,"Moderate","fuel, weapons, medicine",4.28,"Yes"
"2252","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",12.51,15.81,3.3,"Energy",4.57,15.64,18.3,9.2,10.94,129235,-48.5,63.01,93.36,100471592996,209440891699,37.55,68.15,"Low","currency",172.68,"No"
"2253","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",8.91,46.57,37.65,"Tourism",47.06,14.96,38.19,25.46,32.8,88926,-49.29,92.16,103.44,227695095671,814009621837,15.32,24.46,"High","water, food",6.29,"Yes"
"2254","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.12,10.98,4.86,"Construction",5.6,19.17,22.74,13.19,14.45,338617,-23.48,20.96,38.91,137285632408,332651311700,10.74,29.93,"Moderate","fuel, water",10.68,"Yes"
"2255","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",8.64,24.81,16.16,"Services",21.22,23.23,41.92,21.4,36.35,872,-30.29,145,186.03,270498737802,661160654103,29.72,51.94,"Moderate","water, currency",272.51,"Yes"
"2256","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",7.73,12.9,5.18,"Manufacturing",6.83,23.16,28.76,19.18,22.27,32057,-33.44,16.72,16.1,138284176836,314212741549,33.16,69.07,"Dominant","currency, medicine, water",278.48,"Yes"
"2257","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.03,15.89,4.85,"Manufacturing",6.49,25.34,30.68,17.88,16.35,9546,-20.68,87.71,103.57,167754290393,337831258333,19.71,30.37,"Dominant","medicine",17.55,"Yes"
"2258","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",13.91,41.37,27.46,"Energy",32.41,28.96,54.91,19.42,28,14,-21.92,67.99,125.73,275276335792,792123145735,24.38,56.42,"Moderate","food",471.44,"No"
"2259","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",9.53,16.23,6.71,"Services",9.05,11.51,15.56,9.35,11.13,38657,-19.28,48.49,50.82,188540062785,389556508023,23.23,61.95,"Low","water",485.48,"Yes"
"2260","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",8.1,12.22,4.13,"Services",6.07,24.57,28.43,11.73,22.05,2404,-20.74,62.65,82.82,480332529811,960408596417,31.79,76.74,"Low","medicine",248.29,"No"
"2261","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",9.33,18.01,8.68,"Energy",11.95,5.91,11.61,6.34,9.74,429,-22.15,57.86,82.94,210631412671,777604142989,25.7,32.5,"Moderate","currency, food",4.46,"Yes"
"2262","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.35,20.65,8.3,"Tourism",10.65,26.67,34.77,22.79,20.71,39172,-24.36,32.97,20.28,280104523992,540063177070,28.97,65.92,"Dominant","fuel, weapons",498.15,"No"
"2263","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",5.35,9.6,4.25,"Services",5.23,25.72,28.86,10.18,21.97,108323,-33.1,45.58,66.74,392379810077,1185899272542,30.43,86.63,"Low","food, weapons",457.86,"Yes"
"2264","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",3.61,8.95,5.33,"Agriculture",7.39,26.25,30.72,15.98,15.89,1035558,-5.98,52.13,43.11,417356312097,1381546902531,20.28,31.2,"Low","weapons",11.27,"No"
"2265","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",6.31,37.23,30.93,"Services",37.67,29.1,48.99,24.83,29.69,85226,-39.23,77.35,70.36,100269949499,176833012596,16.97,42.67,"High","currency",5.83,"Yes"
"2266","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.55,56.64,46.09,"Construction",52.97,23.72,52.53,20.86,39.04,411300,-75.27,100.67,190.87,465657381454,1626503980985,26.17,49.08,"Low","water, medicine",12.19,"No"
"2267","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",9.22,54.76,45.54,"Energy",65.81,20.99,44.05,18.43,29.39,36671,-69.89,101.48,103.58,392432589624,886005176831,11.88,17.95,"High","medicine, currency",0.05,"Yes"
"2268","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",10.04,53.21,43.17,"Energy",64.6,5.35,40.23,17.34,21.05,5447,-33.9,96.27,48.32,29184677655,70860087849,14.94,43.21,"Moderate","weapons, food, water",1.31,"No"
"2269","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.53,32.48,17.94,"Construction",22.75,19.45,36.77,20.9,20.43,85850,-28.52,21.99,27.35,401761875455,1437704715984,17.67,45.53,"Low","medicine",13.63,"Yes"
"2270","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",7.94,11.72,3.78,"Services",4.54,27.57,31.23,14.43,23.16,153830,-17.67,102.22,182.59,323022717097,983053205785,31.15,79.89,"High","fuel",370.89,"No"
"2271","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",4.46,9.74,5.28,"Energy",7.91,14.66,18.53,11.47,10.92,647,-37.89,122.79,114.04,9851662572,31707207467,36.49,90,"Moderate","fuel, medicine",187.98,"No"
"2272","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",3.18,7.59,4.41,"Energy",5.79,9,13.42,6.46,9.39,9641,-49.97,102.3,177.32,354792321532,1402362787734,36.22,90,"High","currency, water, weapons",425.67,"No"
"2273","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",11.56,23.86,12.3,"Agriculture",15.65,26.31,39.3,21.87,25.56,516030,-48.25,41.58,66.62,177515333461,269622863987,10.23,14.57,"Dominant","medicine, fuel, water",2.2,"No"
"2274","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",5.01,12.46,7.45,"Manufacturing",10.34,6.34,14.62,8.04,12.69,109870,-49.5,111.94,71.89,148828781636,279936452399,38.77,51.2,"Low","medicine",165.58,"No"
"2275","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",11.84,20.86,9.02,"Manufacturing",10.46,12.89,18.26,12.05,12.44,79312,-46.37,51.92,26.21,392290266203,819702194349,14.51,31.3,"Low","food",10.39,"Yes"
"2276","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",3.33,5.93,2.6,"Agriculture",3.08,25.78,28.32,11.12,19.71,16178,-23.6,24.59,47.82,370669403637,1116100342167,15.44,32.92,"Low","medicine, currency",12.53,"Yes"
"2277","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",4.49,8.42,3.93,"Agriculture",5.36,27.86,30.75,12.88,26.66,13414,-48.69,95.71,103.82,318600442113,1208103000006,10.34,16.55,"Low","fuel, currency, food",16.66,"Yes"
"2278","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",5.41,14.58,9.17,"Construction",11.89,9.47,19.95,6.86,17.8,57302,-49.51,77.89,126.83,308937270259,679544274936,37.88,64.28,"Moderate","currency, weapons",327.7,"No"
"2279","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",5.68,11.84,6.16,"Construction",7.49,10.72,14.52,7.48,10.24,15464,-76.61,63.54,126.31,358166298579,975408899127,16.02,21.87,"Low","weapons, food, medicine",13.24,"Yes"
"2280","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",8.77,12.62,3.86,"Energy",4.36,25.5,28.92,18.53,23.46,29445,-43.54,46.63,87.93,470573110779,1454761083194,32.63,71.47,"High","fuel",86.25,"No"
"2281","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",12.46,25.38,12.92,"Services",16.8,11.38,20.28,7.38,12.97,275183,-69.16,88.72,166.87,118652935357,368302086428,10.22,27.84,"High","currency",4.57,"Yes"
"2282","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.12,37.91,28.79,"Agriculture",33.4,5.07,20.31,7.76,11.47,589738,-17.7,98.56,50.87,488589565799,885398739530,11.8,16.26,"High","currency",12.38,"Yes"
"2283","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.16,7.68,2.52,"Energy",3.69,27.16,28.63,16.41,25.52,4193,-48.41,83.5,85.59,296995864521,513670281992,35.07,63.54,"High","fuel, water",315.18,"No"
"2284","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.87,51.63,41.76,"Energy",46.26,5.63,29.64,20.27,21.62,1191393,-14.6,101.3,124.75,36533204545,58823732983,18.71,46.31,"High","medicine, water, currency",13.67,"No"
"2285","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",9.27,19.48,10.21,"Manufacturing",12.71,13.48,22,8.51,18.01,2286,-23.03,94.29,126.78,201637983568,548596143705,30.42,65.7,"High","medicine",227.14,"Yes"
"2286","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",12.18,26.79,14.61,"Services",19.82,29.24,41.58,13.71,35.3,1506,-79.25,42.17,54.54,281127625915,822072046421,28.03,69.18,"High","fuel, currency, weapons",125.29,"Yes"
"2287","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",13.32,37.79,24.48,"Agriculture",33.82,17.08,41.29,23.79,31.82,11812,-19.83,89.81,139.54,236022728388,857082286089,25.96,60.21,"Dominant","water, currency",462.73,"Yes"
